id,type,section,source_en,translation_es,change,notes
10_what_actually_changed_022,label,"10 · WHAT ACTUALLY CHANGED","System transform","Transformación del sistema",revised,"REVISED since ES pack. Prior EN: Dispersed expertise · Prior ES (do not reuse blindly): Experiencia dispersa"
10_what_actually_changed_023,heading,"10 · WHAT ACTUALLY CHANGED","From existing value to operating system","Del valor existente al sistema operativo",revised,"REVISED since ES pack. Prior EN: Navigable support and editorial architecture · Prior ES (do not reuse blindly): Arquitectura de apoyo y contenido editorial navegable"
10_what_actually_changed_025,list,"10 · WHAT ACTUALLY CHANGED","Trust","Confianza",revised,"REVISED since ES pack. Prior EN: Instagram-dependent presence · Prior ES (do not reuse blindly): Presencia dependiente de Instagram"
10_what_actually_changed_028,list,"10 · WHAT ACTUALLY CHANGED","Workshops and explanations","Talleres y explicaciones",revised,"REVISED since ES pack. Prior EN: Individual publishing · Prior ES (do not reuse blindly): Publicación individual"
10_what_actually_changed_029,list,"10 · WHAT ACTUALLY CHANGED","Instagram presence","Presencia en Instagram",revised,"REVISED since ES pack. Prior EN: Recurring operating and measurement rhythm · Prior ES (do not reuse blindly): Ritmo recurrente de operación y medición"
10_what_actually_changed_030,body,"10 · WHAT ACTUALLY CHANGED","Formation","Formación",revised,"REVISED since ES pack. Prior EN: BUSINESS · Prior ES (do not reuse blindly): NEGOCIO"
10_what_actually_changed_037,body,"10 · WHAT ACTUALLY CHANGED","What now exists","Lo que existe ahora",revised,"REVISED since ES pack. Prior EN: WHAT CHANGED · Prior ES (do not reuse blindly): LO QUE CAMBIÓ"
10_what_actually_changed_038,list,"10 · WHAT ACTUALLY CHANGED","Governed brand system Shipped","Sistema de marca gobernado Publicado",revised,"REVISED since ES pack. Prior EN: The practice can publish, learn, and make decisions through a defined system. · Prior ES (do not reuse blindly): La práctica puede publicar, aprender y tomar decisiones a través de un sistema definido."
10_what_actually_changed_039,list,"10 · WHAT ACTUALLY CHANGED","Four bilingual protocols Shipped","Cuatro protocolos bilingües Publicado",revised,"REVISED since ES pack. Prior EN: WHAT BECAME POSSIBLE · Prior ES (do not reuse blindly): LO QUE SE VOLVIÓ POSIBLE"
10_what_actually_changed_040,list,"10 · WHAT ACTUALLY CHANGED","Editorial support surface Shipped","Superficie editorial de apoyo Publicado",revised,"REVISED since ES pack. Prior EN: Owned bilingual support and a path from immediate relief toward continued care. · Prior ES (do not reuse blindly): Apoyo bilingüe propio y un camino del alivio inmediato hacia el cuidado continuo."
10_what_actually_changed_041,list,"10 · WHAT ACTUALLY CHANGED","Owned bilingual platform Shipped","Plataforma bilingüe propia Publicado",revised,"REVISED since ES pack. Prior EN: WHAT REMAINS · Prior ES (do not reuse blindly): LO QUE FALTA"
10_what_actually_changed_042,list,"10 · WHAT ACTUALLY CHANGED","Measurement instrumentation Defined","Instrumentación de medición Definido",revised,"REVISED since ES pack. Prior EN: Adoption, retention, pricing, and commercial validation. · Prior ES (do not reuse blindly): Adopción, retención, precio y validación comercial."
10_what_actually_changed_043,list,"10 · WHAT ACTUALLY CHANGED","Operating rhythm and governance Operating","Ritmo operativo y gobernanza Operando",revised,"REVISED since ES pack. Prior EN: Nari’s trust now has infrastructure. · Prior ES (do not reuse blindly): La confianza de Nari ahora tiene infraestructura."
10_what_actually_changed_044,list,"10 · WHAT ACTUALLY CHANGED","Product and membership architecture Architected","Arquitectura de producto y membresía Arquitectado",revised,"REVISED since ES pack. Prior EN: WORKING EDIT · Private duplicate · Not linked from Studio navigation · Direct URL only · Prior ES (do not reuse blindly): EDICIÓN DE TRABAJO · Duplicado privado · No enlazado desde la navegación del Estudio · Solo por URL directa"
10_what_actually_changed_aria_057,aria,"10 · WHAT ACTUALLY CHANGED","What the experience validated and what remains unproven","Lo que la experiencia validó y lo que aún no está probado",new,"Screen-reader label"
10_what_actually_changed_aria_058,aria,"10 · WHAT ACTUALLY CHANGED","Formation","Formación",new,"Screen-reader label"
