"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-464","changed","10 · WHAT CHANGED","p","DRAFT","Support organized within owned, connected experiences","El apoyo se organizó dentro de experiencias propias y conectadas",""
"csc-465","changed","10 · WHAT CHANGED","p","DRAFT","Publishing as the primary delivery model","Publicar era el principal modelo de entrega",""
"csc-466","changed","10 · WHAT CHANGED","p","DRAFT","Publishing connected to observation and learning","La publicación se conectó con observación y aprendizaje",""
"csc-467","changed","10 · WHAT CHANGED","p","DRAFT","Decisions held through individual memory and effort","Las decisiones dependían de la memoria y el esfuerzo individual",""
"csc-468","changed","10 · WHAT CHANGED","p","DRAFT","Decisions documented through rules, roles, and operating rhythms","Las decisiones se documentaron mediante reglas, roles y ritmos operativos",""
"csc-469","changed","10 · WHAT CHANGED","p","DRAFT","Audience attention without a defined progression","La atención de la audiencia no tenía una progresión definida",""
"csc-470","changed","10 · WHAT CHANGED","p","DRAFT","An emerging pathway from urgent need to deeper support","Se estableció una ruta emergente desde la necesidad urgente hacia un apoyo más profundo",""
"csc-471","changed","10 · WHAT CHANGED","p","DRAFT","Useful resources produced individually","Los recursos útiles se producían de forma individual",""
"csc-472","changed","10 · WHAT CHANGED","p","DRAFT","A repeatable architecture for producing and evolving support","Se creó una estructura repetible para producir y evolucionar el apoyo",""
"csc-473","changed","10 · WHAT CHANGED","p","DRAFT","The result was an operating foundation through which the practice could deliver support, observe behavior, govern decisions, and develop future products without rebuilding each time.","El resultado fue una base operativa desde la cual la práctica podía ofrecer apoyo, observar comportamientos, gobernar decisiones y desarrollar futuros productos sin reconstruir cada vez.",""
