"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-297","product-signal","07 · WHAT BEHAVIOR TAUGHT","h3","DRAFT","Four signals that changed what I built next","Cuatro señales que cambiaron lo que construí después",""
"csc-298","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","A 91-day reporting window is a small sample. It was still enough to correct two assumptions I had made about how this content would be used.","Una ventana de 91 días es una muestra pequeña. Aun así fue suficiente para corregir dos supuestos míos sobre cómo se usaría este contenido.",""
"csc-299","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Evidence","Evidencia",""
"csc-300","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Interpretation","Interpretación",""
"csc-301","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Decision","Decisión",""
"csc-302","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Established","Establecido",""
"csc-303","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Entry signal","Señal de entrada",""
"csc-304","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Pantallas visitors","Visitantes de Pantallas",""
"csc-305","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Evidence","Evidencia",""
"csc-306","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Pantallas reached 71 visitors with <strong>72% average scroll depth</strong>.","Pantallas alcanzó 71 visitantes con 72% de profundidad de scroll promedio.",""
"csc-307","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Interpretation","Interpretación",""
"csc-308","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","A familiar, immediate conflict became the strongest protocol entry point.","Un conflicto conocido e inmediato se convirtió en el punto de entrada más fuerte a los protocolos.",""
"csc-309","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Decision","Decisión",""
"csc-310","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Keep urgent, recognizable needs at the front of the public support layer.","Mantener las necesidades urgentes y reconocibles al frente de la capa de apoyo pública.",""
"csc-311","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Established","Establecido",""
"csc-312","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Pantallas was positioned as a designed entry route into related protocols, deeper learning, and later support pathways, an emerging progression, not yet a validated default across all traffic.","Pantallas se posicionó como ruta de entrada diseñada hacia protocolos relacionados, aprendizaje más profundo y caminos de apoyo posteriores: una progresión emergente, aún no un default validado en todo el tráfico.",""
"csc-313","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Depth signal","Señal de profundidad",""
"csc-314","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","sec","seg",""
"csc-315","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Desbordes attention","Atención en Desbordes",""
"csc-316","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Evidence","Evidencia",""
"csc-317","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Desbordes reached 41 visitors, <strong>79% average scroll depth</strong>, and 108 seconds average time on page.","Desbordes alcanzó 41 visitantes, 79% de profundidad de scroll promedio y 108 segundos de tiempo promedio en la página.",""
"csc-318","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Interpretation","Interpretación",""
"csc-319","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Parents did not only sample acute-support content. They stayed with it.","Las familias no solo probaron el contenido de apoyo agudo. Se quedaron con él.",""
"csc-320","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Decision","Decisión",""
"csc-321","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Prioritize concise intervention first, with enough depth to support understanding after the immediate moment.","Priorizar primero la intervención concisa, con suficiente profundidad para apoyar la comprensión después del momento inmediato.",""
"csc-322","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Established","Establecido",""
