id,type,section,source_en,translation_es,notes
01_the_existing_value_hero_alt_012,alt,"01 · THE EXISTING VALUE · HERO","Nari Gilberto and her son sitting together on the floor, smiling and holding hands in warm afternoon light","Nari Gilberto y su hijo sentados juntos en el piso, sonriendo y tomados de la mano bajo luz cálida de tarde","Image alt text · translate for accessibility"
01_the_existing_value_hero_aria_013,aria,"01 · THE EXISTING VALUE · HERO","Formation sequence","Secuencia de formación","Screen-reader label"
01_the_existing_value_starti_001,label,"01 · THE EXISTING VALUE · STARTING POINT","The existing value","El valor existente",""
01_the_existing_value_starti_002,heading,"01 · THE EXISTING VALUE · STARTING POINT","What already existed · and what needed structure","Lo que ya existía · y lo que necesitaba estructura",""
01_the_existing_value_starti_003,heading,"01 · THE EXISTING VALUE · STARTING POINT","What already existed","Lo que ya existía",""
01_the_existing_value_starti_004,label,"01 · THE EXISTING VALUE · STARTING POINT","Nari","Nari",""
01_the_existing_value_starti_005,body,"01 · THE EXISTING VALUE · STARTING POINT","Trusted voice","Voz de confianza",""
01_the_existing_value_starti_006,body,"01 · THE EXISTING VALUE · STARTING POINT","Teaching, public work, and lived experience in one presence.","Enseñanza, trabajo público y experiencia vivida en una sola presencia.",""
01_the_existing_value_starti_007,label,"01 · THE EXISTING VALUE · STARTING POINT","Audience","Audiencia",""
01_the_existing_value_starti_008,body,"01 · THE EXISTING VALUE · STARTING POINT","Existing audience","Audiencia existente",""
01_the_existing_value_starti_009,body,"01 · THE EXISTING VALUE · STARTING POINT","A community already gathering around the work.","Una comunidad que ya se reunía alrededor del trabajo.",""
01_the_existing_value_starti_010,label,"01 · THE EXISTING VALUE · STARTING POINT","Knowledge","Conocimiento",""
01_the_existing_value_starti_011,body,"01 · THE EXISTING VALUE · STARTING POINT","Recurring expertise","Experiencia recurrente",""
01_the_existing_value_starti_012,body,"01 · THE EXISTING VALUE · STARTING POINT","Workshops, materials, and explanations shaped by repetition.","Talleres, materiales y explicaciones moldeados por la repetición.",""
01_the_existing_value_starti_013,label,"01 · THE EXISTING VALUE · STARTING POINT","Identity","Identidad",""
01_the_existing_value_starti_014,body,"01 · THE EXISTING VALUE · STARTING POINT","Recognizable early identity","Identidad temprana reconocible",""
01_the_existing_value_starti_015,body,"01 · THE EXISTING VALUE · STARTING POINT","Logo, templates, and visual references in use.","Logo, plantillas y referencias visuales en uso.",""
01_the_existing_value_starti_016,label,"01 · THE EXISTING VALUE · STARTING POINT","What needed to be organized","Lo que necesitaba organizarse",""
01_the_existing_value_starti_017,body,"01 · THE EXISTING VALUE · STARTING POINT","Workshops","Talleres",""
01_the_existing_value_starti_018,body,"01 · THE EXISTING VALUE · STARTING POINT","Teaching","Enseñanza",""
01_the_existing_value_starti_019,body,"01 · THE EXISTING VALUE · STARTING POINT","Recurring explanations","Explicaciones recurrentes",""
01_the_existing_value_starti_020,body,"01 · THE EXISTING VALUE · STARTING POINT","Lived experience","Experiencia vivida",""
01_the_existing_value_starti_021,body,"01 · THE EXISTING VALUE · STARTING POINT","Language","Lenguaje",""
01_the_existing_value_starti_022,body,"01 · THE EXISTING VALUE · STARTING POINT","Audience questions","Preguntas de la audiencia",""
01_the_existing_value_starti_023,body,"01 · THE EXISTING VALUE · STARTING POINT","Recurring situations","Situaciones recurrentes",""
01_the_existing_value_starti_024,body,"01 · THE EXISTING VALUE · STARTING POINT","Discovery material","Material de descubrimiento",""
01_the_existing_value_starti_025,body,"01 · THE EXISTING VALUE · STARTING POINT","Initial intake · April 8, 2025","Levantamiento inicial · 8 de abril, 2025",""
01_the_existing_value_starti_026,list,"01 · THE EXISTING VALUE · STARTING POINT","“My child is hitting/screaming. What do I do right now?”","“Mi hijo está golpeando/gritando. ¿Qué hago ahora mismo?”",""
01_the_existing_value_starti_027,list,"01 · THE EXISTING VALUE · STARTING POINT","“I’m losing control. How do I not react?”","“Estoy perdiendo el control. ¿Cómo no reacciono?”",""
01_the_existing_value_starti_028,list,"01 · THE EXISTING VALUE · STARTING POINT","“This is getting worse. How do I de-escalate it?”","“Esto está empeorando. ¿Cómo lo bajo?”",""
01_the_existing_value_starti_029,body,"01 · THE EXISTING VALUE · STARTING POINT","Escalation","Escalada",""
01_the_existing_value_starti_030,body,"01 · THE EXISTING VALUE · STARTING POINT","Regulation","Regulación",""
01_the_existing_value_starti_031,body,"01 · THE EXISTING VALUE · STARTING POINT","Structure","Estructura",""
01_the_existing_value_starti_032,body,"01 · THE EXISTING VALUE · STARTING POINT","Communication","Comunicación",""
01_the_existing_value_starti_033,body,"01 · THE EXISTING VALUE · STARTING POINT","Guidance","Orientación",""
01_the_existing_value_starti_034,body,"01 · THE EXISTING VALUE · STARTING POINT","Real-time intervention","Intervención en tiempo real",""
01_the_existing_value_starti_035,list,"01 · THE EXISTING VALUE · STARTING POINT","01 Collect","01 Recolectar",""
01_the_existing_value_starti_036,list,"01 · THE EXISTING VALUE · STARTING POINT","02 Compare","02 Comparar",""
01_the_existing_value_starti_037,list,"01 · THE EXISTING VALUE · STARTING POINT","03 Cluster","03 Agrupar",""
01_the_existing_value_starti_038,list,"01 · THE EXISTING VALUE · STARTING POINT","04 Synthesize","04 Sintetizar",""
01_the_existing_value_starti_aria_039,aria,"01 · THE EXISTING VALUE · STARTING POINT","Source material","Material fuente","Screen-reader label"
01_the_existing_value_starti_aria_040,aria,"01 · THE EXISTING VALUE · STARTING POINT","Discovery material from the April 8, 2025 initial intake showing common questions and recurring themes","Material de descubrimiento del levantamiento inicial del 8 de abril de 2025, mostrando preguntas comunes y temas recurrentes","Screen-reader label"
01_the_existing_value_starti_aria_041,aria,"01 · THE EXISTING VALUE · STARTING POINT","Analysis process from source material to emerging structure","Proceso de análisis desde el material fuente hasta la estructura emergente","Screen-reader label"
02_the_diagnosis_001,label,"02 · THE DIAGNOSIS","The diagnosis","El diagnóstico",""
02_the_diagnosis_002,heading,"02 · THE DIAGNOSIS","Behavior changed the read. / The read changed what we built.","El comportamiento cambió la lectura. / La lectura cambió lo que construimos.",""
02_the_diagnosis_003,lede,"02 · THE DIAGNOSIS","Parents arrived activated, scanning, and short on capacity. Their behavior pointed to urgency, not leisurely content consumption. StrategyIQ reframed the opportunity from organizing information to designing support for the moment it was needed.","Las familias llegaban activadas, escaneando, con poca capacidad disponible. Su comportamiento apuntaba a urgencia, no a un consumo relajado de contenido. StrategyIQ replanteó la oportunidad: de organizar información a diseñar apoyo para el momento en que se necesitaba.",""
02_the_diagnosis_004,label,"02 · THE DIAGNOSIS","SIGNAL","SEÑAL",""
02_the_diagnosis_005,heading,"02 · THE DIAGNOSIS","What we observed","Lo que observamos",""
02_the_diagnosis_006,body,"02 · THE DIAGNOSIS","Activated arrival, scanning behavior, and short capacity.","Llegada activada, comportamiento de escaneo y poca capacidad disponible.",""
02_the_diagnosis_007,label,"02 · THE DIAGNOSIS","READ","LECTURA",""
02_the_diagnosis_008,heading,"02 · THE DIAGNOSIS","What it suggested","Lo que sugería",""
02_the_diagnosis_009,body,"02 · THE DIAGNOSIS","Design for the moment of need, not leisurely content consumption.","Diseñar para el momento de necesidad, no para un consumo relajado de contenido.",""
02_the_diagnosis_010,label,"02 · THE DIAGNOSIS","DECISION","DECISIÓN",""
02_the_diagnosis_011,heading,"02 · THE DIAGNOSIS","What changed","Lo que cambió",""
02_the_diagnosis_012,body,"02 · THE DIAGNOSIS","The work shifted from organizing information to designing support under pressure.","El trabajo pasó de organizar información a diseñar apoyo bajo presión.",""
02_the_diagnosis_013,label,"02 · THE DIAGNOSIS","READ → DECISION","LECTURA → DECISIÓN",""
02_the_diagnosis_014,caption,"02 · THE DIAGNOSIS","The first read identified emotional urgency. The closer read exposed a larger requirement: support needed an ecosystem, not another content library.","La primera lectura identificó urgencia emocional. La lectura más cercana reveló un requerimiento mayor: el apoyo necesitaba un entramado, no otra biblioteca de contenido.",""
02_the_diagnosis_alt_015,alt,"02 · THE DIAGNOSIS","StrategyIQ first and second reads showing the shift from emotional urgency to a support ecosystem","Primera y segunda lectura de StrategyIQ, mostrando el paso de urgencia emocional a un entramado de apoyo","Image alt text · translate for accessibility"
02_the_diagnosis_aria_016,aria,"02 · THE DIAGNOSIS","Signal to decision","De la señal a la decisión","Screen-reader label"
03_the_learned_identity_001,label,"03 · THE LEARNED IDENTITY","The learned identity","La identidad aprendida",""
03_the_learned_identity_002,heading,"03 · THE LEARNED IDENTITY","The identity evolved as the practice became clearer.","La identidad evolucionó a medida que la práctica se hizo más clara.",""
03_the_learned_identity_003,lede,"03 · THE LEARNED IDENTITY","Each generation solved a problem the work had revealed. Recognition became urgency. Urgency gained editorial structure. Structure eventually required governance.","Cada generación resolvió un problema que el trabajo había revelado. El reconocimiento se volvió urgencia. La urgencia ganó estructura editorial. La estructura, eventualmente, requirió gobernanza.",""
03_the_learned_identity_004,body,"03 · THE LEARNED IDENTITY","Voice → Urgency → Structure → Formalization → Governance","Voz → Urgencia → Estructura → Formalización → Gobernanza",""
03_the_learned_identity_005,body,"03 · THE LEARNED IDENTITY","A · Superseded","A · Reemplazada",""
03_the_learned_identity_006,heading,"03 · THE LEARNED IDENTITY","Recognition and voice","Reconocimiento y voz",""
03_the_learned_identity_007,body,"03 · THE LEARNED IDENTITY","Earliest visual home for the voice · warmer than a finished practice.","Primer hogar visual de la voz · más cálido que una práctica terminada.",""
03_the_learned_identity_008,body,"03 · THE LEARNED IDENTITY","B · Superseded","B · Reemplazada",""
03_the_learned_identity_009,heading,"03 · THE LEARNED IDENTITY","Urgency and intervention","Urgencia e intervención",""
03_the_learned_identity_010,body,"03 · THE LEARNED IDENTITY","Harder moments pulled the tone toward concentration and intervention.","Los momentos más difíciles llevaron el tono hacia la concentración y la intervención.",""
03_the_learned_identity_011,body,"03 · THE LEARNED IDENTITY","C · Superseded","C · Reemplazada",""
03_the_learned_identity_012,heading,"03 · THE LEARNED IDENTITY","Editorial structure","Estructura editorial",""
03_the_learned_identity_013,body,"03 · THE LEARNED IDENTITY","Hierarchy and repeatable editorial patterns began to carry the work.","La jerarquía y los patrones editoriales repetibles empezaron a sostener el trabajo.",""
03_the_learned_identity_014,body,"03 · THE LEARNED IDENTITY","D · Superseded","D · Reemplazada",""
03_the_learned_identity_015,heading,"03 · THE LEARNED IDENTITY","Formalization and governance","Formalización y gobernanza",""
03_the_learned_identity_016,body,"03 · THE LEARNED IDENTITY","Coherent enough to document publicly · still evolving underneath.","Suficientemente coherente para documentarse públicamente · aún en evolución por dentro.",""
03_the_learned_identity_017,body,"03 · THE LEARNED IDENTITY","Current · Governed","Actual · Gobernado",""
03_the_learned_identity_018,heading,"03 · THE LEARNED IDENTITY","Governed System","Sistema Gobernado",""
03_the_learned_identity_019,body,"03 · THE LEARNED IDENTITY","Lessons held together · a warmer system across editorial, product, and practice.","Las lecciones se mantienen unidas · un sistema más cálido a través de lo editorial, el producto y la práctica.",""
03_the_learned_identity_020,body,"03 · THE LEARNED IDENTITY","The iterations were not detours. Each one encoded something the work had taught us.","Las iteraciones no fueron desvíos. Cada una codificó algo que el trabajo nos había enseñado.",""
03_the_learned_identity_021,heading,"03 · THE LEARNED IDENTITY","Once the practice began evolving through use, evolution itself needed rules.","Una vez que la práctica comenzó a evolucionar con el uso, la evolución misma necesitó reglas.",""
03_the_learned_identity_022,label,"03 · THE LEARNED IDENTITY","Internal","Interno",""
03_the_learned_identity_023,heading,"03 · THE LEARNED IDENTITY","System of Record","Sistema de Registro",""
03_the_learned_identity_024,body,"03 · THE LEARNED IDENTITY","The internal source of truth preserves decisions, lineage, migrations, and unresolved boundaries.","La fuente interna de verdad preserva decisiones, linaje, migraciones y límites sin resolver.",""
03_the_learned_identity_025,list,"03 · THE LEARNED IDENTITY","One source of truth","Una sola fuente de verdad",""
03_the_learned_identity_026,list,"03 · THE LEARNED IDENTITY","Historical lineage","Linaje histórico",""
03_the_learned_identity_027,list,"03 · THE LEARNED IDENTITY","Migration rules","Reglas de migración",""
03_the_learned_identity_028,list,"03 · THE LEARNED IDENTITY","Unresolved boundaries","Límites sin resolver",""
03_the_learned_identity_029,caption,"03 · THE LEARNED IDENTITY","INTERNAL · System of Record · Protected operating artifact","INTERNO · Sistema de Registro · Artefacto operativo protegido",""
03_the_learned_identity_030,label,"03 · THE LEARNED IDENTITY","External","Externo",""
03_the_learned_identity_031,heading,"03 · THE LEARNED IDENTITY","Public Brand System","Sistema de Marca Público",""
03_the_learned_identity_032,body,"03 · THE LEARNED IDENTITY","The public system translates that truth into voice, typography, imagery, illustration, and implementation guidance.","El sistema público traduce esa verdad en voz, tipografía, imagen, ilustración y guía de implementación.",""
03_the_learned_identity_033,list,"03 · THE LEARNED IDENTITY","Brand story","Historia de marca",""
03_the_learned_identity_034,list,"03 · THE LEARNED IDENTITY","Voice & principles","Voz y principios",""
03_the_learned_identity_035,list,"03 · THE LEARNED IDENTITY","Color & type","Color y tipografía",""
03_the_learned_identity_036,list,"03 · THE LEARNED IDENTITY","Photography & illustration","Fotografía e ilustración",""
03_the_learned_identity_037,caption,"03 · THE LEARNED IDENTITY","SHIPPED · criarsinculpas.com/brand · Warm Earth","PUBLICADO · criarsinculpas.com/brand · Warm Earth",""
03_the_learned_identity_alt_038,alt,"03 · THE LEARNED IDENTITY","Generation A specimen · Recognition and voice","Espécimen de la Generación A · Reconocimiento y voz","Image alt text · translate for accessibility"
03_the_learned_identity_alt_039,alt,"03 · THE LEARNED IDENTITY","Generation B specimen · Urgency and intervention","Espécimen de la Generación B · Urgencia e intervención","Image alt text · translate for accessibility"
03_the_learned_identity_alt_040,alt,"03 · THE LEARNED IDENTITY","Generation C specimen · Editorial structure","Espécimen de la Generación C · Estructura editorial","Image alt text · translate for accessibility"
03_the_learned_identity_alt_041,alt,"03 · THE LEARNED IDENTITY","Generation D specimen · Formalization and governance","Espécimen de la Generación D · Formalización y gobernanza","Image alt text · translate for accessibility"
03_the_learned_identity_alt_042,alt,"03 · THE LEARNED IDENTITY","Current canonical specimen · Governed System","Espécimen canónico actual · Sistema Gobernado","Image alt text · translate for accessibility"
03_the_learned_identity_alt_043,alt,"03 · THE LEARNED IDENTITY","Internal System of Record workspace for Criar Sin Culpas","Espacio de trabajo interno del Sistema de Registro de Criar Sin Culpas","Image alt text · translate for accessibility"
03_the_learned_identity_alt_044,alt,"03 · THE LEARNED IDENTITY","Current public Brand System palette on criarsinculpas.com/brand","Paleta actual del Sistema de Marca público en criarsinculpas.com/brand","Image alt text · translate for accessibility"
03_the_learned_identity_aria_045,aria,"03 · THE LEARNED IDENTITY","Brand evolution progression","Progresión de la evolución de marca","Screen-reader label"
03_the_learned_identity_aria_046,aria,"03 · THE LEARNED IDENTITY","Historical brand generations","Generaciones históricas de marca","Screen-reader label"
03_the_learned_identity_aria_047,aria,"03 · THE LEARNED IDENTITY","Generation A palette","Paleta de la Generación A","Screen-reader label"
03_the_learned_identity_aria_048,aria,"03 · THE LEARNED IDENTITY","Generation B palette","Paleta de la Generación B","Screen-reader label"
03_the_learned_identity_aria_049,aria,"03 · THE LEARNED IDENTITY","Generation C palette","Paleta de la Generación C","Screen-reader label"
03_the_learned_identity_aria_050,aria,"03 · THE LEARNED IDENTITY","Generation D palette","Paleta de la Generación D","Screen-reader label"
04_visual_support_infrastruc_001,label,"04 · VISUAL SUPPORT INFRASTRUCTURE","Visual support infrastructure","Infraestructura visual de apoyo",""
04_visual_support_infrastruc_002,heading,"04 · VISUAL SUPPORT INFRASTRUCTURE","Some moments are documented. / Others have to be interpreted.","Algunos momentos se documentan. / Otros hay que interpretarlos.",""
04_visual_support_infrastruc_003,lede,"04 · VISUAL SUPPORT INFRASTRUCTURE","Photography records lived reality. Illustration clarifies the emotional structure of a moment. Together, they help support feel human, recognizable, and usable.","La fotografía registra la realidad vivida. La ilustración clarifica la estructura emocional de un momento. Juntas, ayudan a que el apoyo se sienta humano, reconocible y utilizable.",""
04_visual_support_infrastruc_004,heading,"04 · VISUAL SUPPORT INFRASTRUCTURE","Photography","Fotografía",""
04_visual_support_infrastruc_005,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Records lived reality.","Registra la realidad vivida.",""
04_visual_support_infrastruc_006,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Documentary","Documental",""
04_visual_support_infrastruc_007,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Intimate","Íntima",""
04_visual_support_infrastruc_008,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Warm","Cálida",""
04_visual_support_infrastruc_009,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Human","Humana",""
04_visual_support_infrastruc_010,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Unposed","Sin posar",""
04_visual_support_infrastruc_011,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Natural light","Luz natural",""
04_visual_support_infrastruc_012,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Emotional honesty","Honestidad emocional",""
04_visual_support_infrastruc_013,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Documentary, not marketing · the moment support becomes possible, not the moment it succeeds.","Documental, no publicitaria · el momento en que el apoyo se vuelve posible, no el momento en que triunfa.",""
04_visual_support_infrastruc_014,heading,"04 · VISUAL SUPPORT INFRASTRUCTURE","Illustration","Ilustración",""
04_visual_support_infrastruc_015,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Clarifies the emotional structure of a moment.","Clarifica la estructura emocional de un momento.",""
04_visual_support_infrastruc_016,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Un solo dibujo, cuatro distancias.","Un solo dibujo, cuatro distancias.",""
04_visual_support_infrastruc_017,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Cine","Cine",""
04_visual_support_infrastruc_018,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Foto","Foto",""
04_visual_support_infrastruc_019,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pin","Pin",""
04_visual_support_infrastruc_020,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Símbolo","Símbolo",""
04_visual_support_infrastruc_021,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Heart","Corazón",""
04_visual_support_infrastruc_022,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Brain","Cerebro",""
04_visual_support_infrastruc_023,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","SOS","SOS",""
04_visual_support_infrastruc_024,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pause","Pausa",""
04_visual_support_infrastruc_025,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Prohibido","Prohibido",""
04_visual_support_infrastruc_027,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Stethoscope","Estetoscopio",""
04_visual_support_infrastruc_028,lede,"04 · VISUAL SUPPORT INFRASTRUCTURE","El sistema no decora. Sostiene.","El sistema no decora. Sostiene.",""
04_visual_support_infrastruc_029,label,"04 · VISUAL SUPPORT INFRASTRUCTURE","Visual production library","Biblioteca de producción visual",""
04_visual_support_infrastruc_030,heading,"04 · VISUAL SUPPORT INFRASTRUCTURE","Eventually, even the imagery became a system.","Con el tiempo, hasta la imagen se volvió un sistema.",""
04_visual_support_infrastruc_031,lede,"04 · VISUAL SUPPORT INFRASTRUCTURE","Assets were named and organized with formats, tags, transformations, and production references. New publishing could begin from a shared visual language rather than from zero.","Los recursos se nombraron y organizaron con formatos, etiquetas, transformaciones y referencias de producción. Cada nueva publicación podía partir de un lenguaje visual compartido, no de cero.",""
04_visual_support_infrastruc_032,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Image","Imagen",""
04_visual_support_infrastruc_033,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Art direction","Dirección de arte",""
04_visual_support_infrastruc_034,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Visual language","Lenguaje visual",""
04_visual_support_infrastruc_035,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","Production library","Biblioteca de producción",""
04_visual_support_infrastruc_036,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Sleep doodle","Boceto de sueño",""
04_visual_support_infrastruc_037,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Emociones","Emociones",""
04_visual_support_infrastruc_038,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Desbordes","Desbordes",""
04_visual_support_infrastruc_039,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pantallas","Pantallas",""
04_visual_support_infrastruc_alt_040,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Documentary portrait of Nari Gilberto","Retrato documental de Nari Gilberto","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_041,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Cine scale sleep illustration","Ilustración de sueño a escala Cine","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_042,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Foto scale sleep illustration","Ilustración de sueño a escala Foto","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_043,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pin scale sleep illustration","Ilustración de sueño a escala Pin","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_044,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Símbolo open hand","Símbolo de mano abierta","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_045,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Heart symbol","Símbolo de corazón","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_046,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Brain symbol","Símbolo de cerebro","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_047,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","SOS symbol","Símbolo de SOS","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_048,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pause symbol","Símbolo de pausa","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_049,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Prohibido symbol","Símbolo de prohibido","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_050,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pin symbol","Símbolo de pin","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_051,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Stethoscope symbol","Símbolo de estetoscopio","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_052,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Sleep doodle crop","Recorte del boceto de sueño","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_053,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Emotions doodle crop","Recorte del boceto de emociones","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_054,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Meltdowns doodle crop","Recorte del boceto de desbordes","Image alt text · translate for accessibility"
04_visual_support_infrastruc_alt_055,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Screens doodle crop","Recorte del boceto de pantallas","Image alt text · translate for accessibility"
04_visual_support_infrastruc_aria_056,aria,"04 · VISUAL SUPPORT INFRASTRUCTURE","Illustration distance ladder","Escala de distancias de la ilustración","Screen-reader label"
04_visual_support_infrastruc_aria_057,aria,"04 · VISUAL SUPPORT INFRASTRUCTURE","Symbol set","Set de símbolos","Screen-reader label"
04_visual_support_infrastruc_aria_058,aria,"04 · VISUAL SUPPORT INFRASTRUCTURE","Symbol set extension","Extensión del set de símbolos","Screen-reader label"
04_visual_support_infrastruc_aria_059,aria,"04 · VISUAL SUPPORT INFRASTRUCTURE","Imagery progression","Progresión de la imagen","Screen-reader label"
04_visual_support_infrastruc_aria_060,aria,"04 · VISUAL SUPPORT INFRASTRUCTURE","Production library fragments","Fragmentos de la biblioteca de producción","Screen-reader label"
05_designing_for_the_moment_001,label,"05 · DESIGNING FOR THE MOMENT","Designing for the moment","Diseñando para el momento",""
05_designing_for_the_moment_002,heading,"05 · DESIGNING FOR THE MOMENT","Parents were not arriving to browse. / They were arriving in need.","Las familias no llegaban a explorar. / Llegaban con una necesidad.",""
05_designing_for_the_moment_003,lede,"05 · DESIGNING FOR THE MOMENT","They were exhausted, emotionally activated, and often using one hand while caring for a child. That changed hierarchy, writing, navigation, protocol length, illustration, and the choices offered next.","Estaban exhaustas, emocionalmente activadas y muchas veces usando una sola mano mientras cuidaban a un hijo. Eso cambió la jerarquía, la redacción, la navegación, la extensión de los protocolos, la ilustración y las opciones que se ofrecían después.",""
05_designing_for_the_moment_004,label,"05 · DESIGNING FOR THE MOMENT","What the moment demanded","Lo que el momento exigía",""
05_designing_for_the_moment_005,body,"05 · DESIGNING FOR THE MOMENT","Exhausted","Exhaustas",""
05_designing_for_the_moment_006,body,"05 · DESIGNING FOR THE MOMENT","Scanning","Escaneando",""
05_designing_for_the_moment_007,body,"05 · DESIGNING FOR THE MOMENT","Holding a child","Cargando a un hijo",""
05_designing_for_the_moment_008,body,"05 · DESIGNING FOR THE MOMENT","Emotionally activated","Emocionalmente activadas",""
05_designing_for_the_moment_009,body,"05 · DESIGNING FOR THE MOMENT","Looking for one useful sentence","Buscando una sola frase útil",""
05_designing_for_the_moment_010,label,"05 · DESIGNING FOR THE MOMENT","What the experience changed","Lo que la experiencia cambió",""
05_designing_for_the_moment_011,list,"05 · DESIGNING FOR THE MOMENT","Stronger hierarchy","Jerarquía más fuerte",""
